ScientificName,SpecCode,CommonName,Environments,Subspecies
Cypselurus angusticeps,13690,Bangsi,['salt'],[]
Cypselurus callopterus,13691,Beautyfin flyingfish,['salt'],[]
Cypselurus comatus,1025,Belalang,['salt'],[]
Cypselurus hexazona,15362,Cá Chuồn,['salt'],[]
Cypselurus hiraii,12986,Hoso-tobi-uo,['salt'],[]
Cypselurus longibarbus,67225,長鬚唇飛魚,['salt'],[]
Cypselurus naresii,7726,Belalang,['salt'],[]
Cypselurus oligolepis,15365,Bangsi,['salt'],[]
Cypselurus opisthopus,5159,Aliponghok,['salt'],[]
Cypselurus poecilopterus,5122,Antoni,['salt'],[]
Cypselurus simus,12966,Bangsi,['salt'],[]
Cypselurus starksi,23043,Ariake-tobi-uo,['salt'],[]
